"","GEOID","no_GED","high_school_grad","college","Pop_18_and","males","young","older","poverty","middle_class","upper_class","white","black","asian","hispanic","alaska_indian","white_poverty","black_older","poverty_older","hispanic_older","poverty_young","male_upper_class"
"1","18163000100",236,563,666,1608,1028,507,502,240,287,103,1474,58,49,4,0,392,14,61,0,110,18
"2","18163000201",333,1989,3576,6402,3579,1875,2484,686,1214,1069,5982,217,79,46,65,470,34,125,0,144,307
"3","18163000202",148,793,833,1857,1076,416,882,223,294,175,1652,62,17,48,8,234,29,66,0,26,68
"4","18163000300",190,751,898,3161,1746,1809,585,421,363,145,2836,175,31,66,5,539,41,59,10,231,30
"5","18163000400",76,345,974,1907,1178,791,701,234,237,292,1790,28,43,5,0,362,7,37,0,207,88
"6","18163000500",55,478,1032,1891,1042,697,688,103,221,356,1745,64,23,34,7,200,19,35,34,136,121
"7","18163000600",33,313,795,1345,833,469,410,173,170,215,1182,81,26,2,0,255,18,52,2,115,67
"8","18163000800",228,664,988,2115,1322,585,857,376,300,178,1675,287,25,6,0,428,99,148,6,62,17
"9","18163000900",913,1534,1667,4704,3038,1566,1629,768,1067,306,3662,583,0,435,0,1257,226,91,0,469,41
"10","18163001000",403,943,1119,2904,1975,1215,889,607,620,201,1948,693,0,56,0,644,155,214,0,377,22
"11","18163001100",307,510,782,1869,1040,564,554,476,272,116,1039,710,0,94,0,676,146,168,20,256,0
"12","18163001200",226,290,549,1221,684,323,458,354,201,96,654,451,0,26,0,227,175,117,4,98,10
"13","18163001300",335,507,393,1393,983,416,422,430,204,29,498,777,0,70,25,305,230,129,12,247,8
"14","18163001400",205,459,472,1327,872,450,456,359,205,62,677,629,9,8,0,385,225,109,3,181,8
"15","18163001500",163,547,522,1437,918,399,481,305,247,128,562,847,0,15,0,158,341,88,0,160,22
"16","18163001700",219,384,871,1803,931,596,720,517,203,124,1149,590,0,39,14,391,291,225,0,193,52
"17","18163001800",66,129,316,533,339,140,247,100,64,95,500,33,0,0,0,88,18,40,0,50,55
"18","18163001900",155,271,251,806,461,229,221,207,135,21,637,111,0,37,0,329,41,19,0,139,0
"19","18163002000",131,407,260,825,474,111,442,279,78,26,757,68,0,0,0,207,24,76,0,39,10
"20","18163002100",289,631,599,1693,1116,480,480,292,318,106,1507,111,0,47,0,516,6,56,1,128,22
"21","18163002300",361,807,761,2103,1412,821,470,519,250,79,2064,39,0,0,0,913,0,55,0,216,0
"22","18163002400",369,1031,1121,2683,1607,687,1041,554,486,269,2563,92,19,0,9,719,11,68,0,158,66
"23","18163002500",378,511,385,1402,987,450,450,307,229,53,1107,143,0,118,7,545,21,68,19,214,0
"24","18163002600",512,963,758,2637,1736,839,747,685,369,34,2135,443,0,20,0,1318,177,222,0,332,12
"25","18163002800",289,833,916,2305,1329,740,999,439,372,312,2102,100,0,47,19,404,0,109,14,101,72
"26","18163002900",73,216,447,803,507,180,215,100,135,95,787,0,0,7,0,178,0,39,0,35,37
"27","18163003000",505,970,1774,3786,2343,1282,1468,569,905,376,3652,12,0,28,0,909,4,119,11,410,101
"28","18163003100",273,628,877,1943,1292,784,579,242,384,148,1914,23,0,6,0,425,0,46,6,115,2
"29","18163003200",250,981,1323,3188,1904,1287,1090,771,508,363,2997,109,8,50,0,1024,16,103,0,579,113
"30","18163003300",440,917,1366,3038,1751,921,1277,831,508,245,2723,196,0,96,0,620,32,171,16,372,61
"31","18163003400",220,823,1194,2410,1490,645,999,252,306,447,2407,1,2,2,0,236,0,94,0,47,71
"32","18163003500",314,773,1121,2569,1758,753,1054,179,379,332,2200,307,17,29,0,281,22,80,0,62,83
"33","18163003600",695,1243,1154,3554,2119,1235,1033,734,603,155,2710,420,0,348,0,918,38,160,19,252,26
"34","18163003701",126,449,904,1578,1023,381,696,197,207,269,1424,91,5,42,0,136,43,35,0,30,111
"35","18163003702",534,1017,1521,3536,2377,1060,1194,842,684,331,2508,713,18,126,47,923,99,156,0,326,110
"36","18163003801",314,840,2769,4226,2264,1446,1727,578,957,644,3609,369,50,117,0,386,107,137,25,187,147
"37","18163003803",128,801,2930,4242,2692,1175,1926,239,462,1049,3931,149,90,19,0,139,74,84,0,68,604
"38","18163003804",312,1467,2409,4780,2584,1545,2014,684,885,713,3889,631,0,171,0,680,233,116,97,247,289
"39","18163003900",162,924,1211,2680,1763,714,1093,272,363,366,2373,103,143,40,0,278,31,128,35,168,109
"40","18163010100",338,1495,2496,4872,2541,2048,1941,1402,1048,390,3994,587,161,46,14,812,267,287,0,286,214
"41","18163010201",236,1608,6125,8607,5941,1821,3599,209,416,2683,7337,238,603,236,0,144,85,41,16,52,1235
"42","18163010202",56,814,1377,2406,1657,401,1127,160,272,524,2302,81,0,23,0,166,30,56,0,18,203
"43","18163010203",449,2166,3480,6710,4362,1842,2548,634,893,1232,6585,62,22,20,21,1232,0,176,7,316,391
"44","18163010403",121,981,1770,5843,2764,3373,1627,435,554,671,5444,173,84,44,14,570,0,100,3,433,335
"45","18163010404",174,1145,3435,5520,3736,1477,2376,356,567,1569,5253,0,212,38,9,481,0,104,4,261,689
"46","18163010500",295,1621,3606,6078,3924,1426,2753,405,486,1469,5979,0,37,62,0,449,0,285,54,95,727
"47","18163010600",91,589,647,1423,980,253,704,90,128,415,1418,0,0,5,0,43,0,7,5,18,167
"48","18163010700",254,1095,4564,6395,4363,1605,2467,194,429,1939,5976,185,129,32,8,308,94,44,0,75,834
"49","18163980100",0,44,13,71,28,31,40,0,13,13,71,0,0,0,0,0,0,0,0,0,0
